year,race,sex,age_group,population
2014,Yellow,Female,45-49,50316
2014,Yellow,Female,50-54,44514
2014,Yellow,Female,55-59,41538
2014,Yellow,Female,60-64,37884
2014,Yellow,Female,65-69,32422
2014,Yellow,Female,70-74,27573
2014,Yellow,Female,75-79,19714
2014,Yellow,Female,80+,24608
2014,Indigenous,Male,0-4,55863
2014,Indigenous,Male,5-9,54990
2014,Indigenous,Male,10-14,51893
2014,Indigenous,Male,15-19,46362
2014,Indigenous,Male,20-24,41719
2014,Indigenous,Male,25-29,36230
2014,Indigenous,Male,30-34,31105
2014,Indigenous,Male,35-39,27599
2014,Indigenous,Male,40-44,23775
2014,Indigenous,Male,45-49,20151
2014,Indigenous,Male,50-54,16440
2014,Indigenous,Male,55-59,13633
2014,Indigenous,Male,60-64,11006
2014,Indigenous,Male,65-69,8518
2014,Indigenous,Male,70-74,6353
2014,Indigenous,Male,75-79,4115
2014,Indigenous,Male,80+,4972
2014,Indigenous,Female,0-4,54330
2014,Indigenous,Female,5-9,53013
2014,Indigenous,Female,10-14,50116
2014,Indigenous,Female,15-19,45231
2014,Indigenous,Female,20-24,40409
2014,Indigenous,Female,25-29,35628
2014,Indigenous,Female,30-34,31156
2014,Indigenous,Female,35-39,27231
2014,Indigenous,Female,40-44,23458
2014,Indigenous,Female,45-49,20234
2014,Indigenous,Female,50-54,16832
2014,Indigenous,Female,55-59,14825
2014,Indigenous,Female,60-64,12328
2014,Indigenous,Female,65-69,9813
2014,Indigenous,Female,70-74,7196
2014,Indigenous,Female,75-79,4928
2014,Indigenous,Female,80+,7035
2015,White,Male,0-4,3175336
2015,White,Male,5-9,3123078
2015,White,Male,10-14,3217261
2015,White,Male,15-19,3243639
2015,White,Male,20-24,3441692
2015,White,Male,25-29,3464579
2015,White,Male,30-34,3313047
2015,White,Male,35-39,3143584
2015,White,Male,40-44,3085874
2015,White,Male,45-49,2789297
2015,White,Male,50-54,2525614
2015,White,Male,55-59,2218427
2015,White,Male,60-64,1835706
2015,White,Male,65-69,1398061
2015,White,Male,70-74,1062313
2015,White,Male,75-79,707231
2015,White,Male,80+,750388
2015,White,Female,0-4,3104948
2015,White,Female,5-9,3056769
2015,White,Female,10-14,3151649
2015,White,Female,15-19,3286099
2015,White,Female,20-24,3555099
2015,White,Female,25-29,3664048
2015,White,Female,30-34,3585550
2015,White,Female,35-39,3483617
2015,White,Female,40-44,3446837
2015,White,Female,45-49,3160648
2015,White,Female,50-54,2881324
2015,White,Female,55-59,2576801
2015,White,Female,60-64,2175493
2015,White,Female,65-69,1720288
2015,White,Female,70-74,1385421
2015,White,Female,75-79,1008223
2015,White,Female,80+,1316030
2015,Black,Male,0-4,364215
2015,Black,Male,5-9,485656
2015,Black,Male,10-14,592836
2015,Black,Male,15-19,692664
2015,Black,Male,20-24,794380
2015,Black,Male,25-29,824655
2015,Black,Male,30-34,790927
2015,Black,Male,35-39,741667
2015,Black,Male,40-44,710061
2015,Black,Male,45-49,606699
2015,Black,Male,50-54,525242
2015,Black,Male,55-59,423284
2015,Black,Male,60-64,331870
2015,Black,Male,65-69,242080
2015,Black,Male,70-74,173417
2015,Black,Male,75-79,108015
2015,Black,Male,80+,112372
2015,Black,Female,0-4,338804
2015,Black,Female,5-9,442220
2015,Black,Female,10-14,530416
2015,Black,Female,15-19,614638
2015,Black,Female,20-24,707925
2015,Black,Female,25-29,736505
2015,Black,Female,30-34,704785
2015,Black,Female,35-39,665731
2015,Black,Female,40-44,641399
2015,Black,Female,45-49,566301
2015,Black,Female,50-54,511472
2015,Black,Female,55-59,434552
2015,Black,Female,60-64,357078
2015,Black,Female,65-69,272819
2015,Black,Female,70-74,206799
2015,Black,Female,75-79,137617
2015,Black,Female,80+,165341
2015,Brown,Male,0-4,3097905
2015,Brown,Male,5-9,3602679
2015,Brown,Male,10-14,3999318
2015,Brown,Male,15-19,3932465
2015,Brown,Male,20-24,3856770
2015,Brown,Male,25-29,3644444
2015,Brown,Male,30-34,3387169
2015,Brown,Male,35-39,3168696
2015,Brown,Male,40-44,2968573
2015,Brown,Male,45-49,2517338
2015,Brown,Male,50-54,2143048
2015,Brown,Male,55-59,1751066
2015,Brown,Male,60-64,1377268
2015,Brown,Male,65-69,1015155
2015,Brown,Male,70-74,728650
2015,Brown,Male,75-79,451421
2015,Brown,Male,80+,463612
2015,Brown,Female,0-4,2966627
2015,Brown,Female,5-9,3437429
2015,Brown,Female,10-14,3829241
2015,Brown,Female,15-19,3771449
2015,Brown,Female,20-24,3776809
2015,Brown,Female,25-29,3712882
2015,Brown,Female,30-34,3532316
2015,Brown,Female,35-39,3308469
2015,Brown,Female,40-44,3087678
2015,Brown,Female,45-49,2664778
2015,Brown,Female,50-54,2303608
2015,Brown,Female,55-59,1936941
2015,Brown,Female,60-64,1536421
2015,Brown,Female,65-69,1152888
2015,Brown,Female,70-74,852404
2015,Brown,Female,75-79,553527
2015,Brown,Female,80+,646985
2015,Yellow,Male,0-4,33198
2015,Yellow,Male,5-9,38729
2015,Yellow,Male,10-14,42137
2015,Yellow,Male,15-19,43616
2015,Yellow,Male,20-24,48676
2015,Yellow,Male,25-29,50317
2015,Yellow,Male,30-34,49258
2015,Yellow,Male,35-39,46434
2015,Yellow,Male,40-44,45309
2015,Yellow,Male,45-49,40489
2015,Yellow,Male,50-54,36780
2015,Yellow,Male,55-59,34314
2015,Yellow,Male,60-64,31649
2015,Yellow,Male,65-69,27492
2015,Yellow,Male,70-74,23719
2015,Yellow,Male,75-79,16254
2015,Yellow,Male,80+,17674
2015,Yellow,Female,0-4,31470
2015,Yellow,Female,5-9,37116
2015,Yellow,Female,10-14,43106
2015,Yellow,Female,15-19,50213
2015,Yellow,Female,20-24,59040
2015,Yellow,Female,25-29,60899
2015,Yellow,Female,30-34,58257
2015,Yellow,Female,35-39,54797
2015,Yellow,Female,40-44,52953
2015,Yellow,Female,45-49,47076
2015,Yellow,Female,50-54,42024
2015,Yellow,Female,55-59,39574
2015,Yellow,Female,60-64,36346
2015,Yellow,Female,65-69,31644
2015,Yellow,Female,70-74,27338
2015,Yellow,Female,75-79,19806
2015,Yellow,Female,80+,24993
2015,Indigenous,Male,0-4,57199
2015,Indigenous,Male,5-9,56268
2015,Indigenous,Male,10-14,53046
2015,Indigenous,Male,15-19,47771
2015,Indigenous,Male,20-24,43000
2015,Indigenous,Male,25-29,37180
2015,Indigenous,Male,30-34,31924
2015,Indigenous,Male,35-39,28493
2015,Indigenous,Male,40-44,24657
2015,Indigenous,Male,45-49,20830
2015,Indigenous,Male,50-54,17004
2015,Indigenous,Male,55-59,14108
2015,Indigenous,Male,60-64,11402
2015,Indigenous,Male,65-69,8800
2015,Indigenous,Male,70-74,6541
2015,Indigenous,Male,75-79,4210
2015,Indigenous,Male,80+,5121
2015,Indigenous,Female,0-4,55586
2015,Indigenous,Female,5-9,54139
2015,Indigenous,Female,10-14,51180
2015,Indigenous,Female,15-19,46540
2015,Indigenous,Female,20-24,41753
2015,Indigenous,Female,25-29,36702
2015,Indigenous,Female,30-34,32043
2015,Indigenous,Female,35-39,28236
2015,Indigenous,Female,40-44,24395
2015,Indigenous,Female,45-49,20886
2015,Indigenous,Female,50-54,17421
2015,Indigenous,Female,55-59,15341
2015,Indigenous,Female,60-64,12788
2015,Indigenous,Female,65-69,10132
2015,Indigenous,Female,70-74,7436
2015,Indigenous,Female,75-79,5108
2015,Indigenous,Female,80+,7274
2016,White,Male,0-4,3137885
2016,White,Male,5-9,3091050
2016,White,Male,10-14,3143523
2016,White,Male,15-19,3173911
2016,White,Male,20-24,3372100
2016,White,Male,25-29,3392482
2016,White,Male,30-34,3272514
2016,White,Male,35-39,3145838
2016,White,Male,40-44,3100849
2016,White,Male,45-49,2777633
2016,White,Male,50-54,2535426
2016,White,Male,55-59,2254730
2016,White,Male,60-64,1883108
2016,White,Male,65-69,1445214
2016,White,Male,70-74,1096622
2016,White,Male,75-79,727601
2016,White,Male,80+,774370
2016,White,Female,0-4,3064755
2016,White,Female,5-9,3018826
2016,White,Female,10-14,3074795
2016,White,Female,15-19,3212509
2016,White,Female,20-24,3481613
2016,White,Female,25-29,3588332
2016,White,Female,30-34,3543903
2016,White,Female,35-39,3490714
2016,White,Female,40-44,3468818
2016,White,Female,45-49,3154894
2016,White,Female,50-54,2898496
2016,White,Female,55-59,2624971
2016,White,Female,60-64,2235987
2016,White,Female,65-69,1780983
2016,White,Female,70-74,1429547
2016,White,Female,75-79,1034993
2016,White,Female,80+,1359253
2016,Black,Male,0-4,368979
2016,Black,Male,5-9,489479
2016,Black,Male,10-14,589715
2016,Black,Male,15-19,697877
2016,Black,Male,20-24,808376
2016,Black,Male,25-29,837868
2016,Black,Male,30-34,805636
2016,Black,Male,35-39,767932
2016,Black,Male,40-44,740406
2016,Black,Male,45-49,630428
2016,Black,Male,50-54,547906
2016,Black,Male,55-59,444569
2016,Black,Male,60-64,350986
2016,Black,Male,65-69,256514
2016,Black,Male,70-74,183002
2016,Black,Male,75-79,113467
2016,Black,Male,80+,118254
2016,Black,Female,0-4,344675
2016,Black,Female,5-9,448185
2016,Black,Female,10-14,528579
2016,Black,Female,15-19,619602
2016,Black,Female,20-24,720809
2016,Black,Female,25-29,749686
2016,Black,Female,30-34,720341
2016,Black,Female,35-39,692655
2016,Black,Female,40-44,670532
2016,Black,Female,45-49,588566
2016,Black,Female,50-54,532353
2016,Black,Female,55-59,455951
2016,Black,Female,60-64,377839
2016,Black,Female,65-69,289652
2016,Black,Female,70-74,218406
2016,Black,Female,75-79,144283
2016,Black,Female,80+,174306
2016,Brown,Male,0-4,3084349
2016,Brown,Male,5-9,3580732
2016,Brown,Male,10-14,3933018
2016,Brown,Male,15-19,3894410
2016,Brown,Male,20-24,3841539
2016,Brown,Male,25-29,3635188
2016,Brown,Male,30-34,3398355
2016,Brown,Male,35-39,3226461
2016,Brown,Male,40-44,3041473
2016,Brown,Male,45-49,2574385
2016,Brown,Male,50-54,2205767
2016,Brown,Male,55-59,1815834
2016,Brown,Male,60-64,1436246
2016,Brown,Male,65-69,1061714
2016,Brown,Male,70-74,759578
2016,Brown,Male,75-79,469719
2016,Brown,Male,80+,482167
2016,Brown,Female,0-4,2956151
2016,Brown,Female,5-9,3419644
2016,Brown,Female,10-14,3763198
2016,Brown,Female,15-19,3728017
2016,Brown,Female,20-24,3763894
2016,Brown,Female,25-29,3711490
2016,Brown,Female,30-34,3552635
2016,Brown,Female,35-39,3374835
2016,Brown,Female,40-44,3167217
2016,Brown,Female,45-49,2725699
2016,Brown,Female,50-54,2369378
2016,Brown,Female,55-59,2010801
2016,Brown,Female,60-64,1605220
2016,Brown,Female,65-69,1208031
2016,Brown,Female,70-74,889147
2016,Brown,Female,75-79,576158
2016,Brown,Female,80+,675374
2016,Yellow,Male,0-4,28891
2016,Yellow,Male,5-9,34073
2016,Yellow,Male,10-14,36989
2016,Yellow,Male,15-19,38590
2016,Yellow,Male,20-24,43220
2016,Yellow,Male,25-29,44844
2016,Yellow,Male,30-34,44421
2016,Yellow,Male,35-39,42852
2016,Yellow,Male,40-44,42401
2016,Yellow,Male,45-49,37529
2016,Yellow,Male,50-54,34339
2016,Yellow,Male,55-59,32140
2016,Yellow,Male,60-64,29690
2016,Yellow,Male,65-69,26147
2016,Yellow,Male,70-74,22666
2016,Yellow,Male,75-79,15434
2016,Yellow,Male,80+,17179
2016,Yellow,Female,0-4,27429
2016,Yellow,Female,5-9,32576
2016,Yellow,Female,10-14,37595
2016,Yellow,Female,15-19,43919
2016,Yellow,Female,20-24,51932
2016,Yellow,Female,25-29,53680
2016,Yellow,Female,30-34,52087
2016,Yellow,Female,35-39,50148
2016,Yellow,Female,40-44,49055
2016,Yellow,Female,45-49,43488
2016,Yellow,Female,50-54,39087
2016,Yellow,Female,55-59,37045
2016,Yellow,Female,60-64,34216
2016,Yellow,Female,65-69,30145
2016,Yellow,Female,70-74,26348
2016,Yellow,Female,75-79,19103
2016,Yellow,Female,80+,24681
2016,Indigenous,Male,0-4,58359
2016,Indigenous,Male,5-9,57242
2016,Indigenous,Male,10-14,53885
2016,Indigenous,Male,15-19,48879
2016,Indigenous,Male,20-24,43978
2016,Indigenous,Male,25-29,37791
2016,Indigenous,Male,30-34,32429
2016,Indigenous,Male,35-39,29084
2016,Indigenous,Male,40-44,25206
2016,Indigenous,Male,45-49,21182
2016,Indigenous,Male,50-54,17229
2016,Indigenous,Male,55-59,14235
2016,Indigenous,Male,60-64,11485
2016,Indigenous,Male,65-69,8707
2016,Indigenous,Male,70-74,6371
2016,Indigenous,Male,75-79,4016
2016,Indigenous,Male,80+,5006
2016,Indigenous,Female,0-4,56619
2016,Indigenous,Female,5-9,55008
2016,Indigenous,Female,10-14,51924
2016,Indigenous,Female,15-19,47507
2016,Indigenous,Female,20-24,42836
2016,Indigenous,Female,25-29,37455
2016,Indigenous,Female,30-34,32643
2016,Indigenous,Female,35-39,28897
2016,Indigenous,Female,40-44,24990
2016,Indigenous,Female,45-49,21197
2016,Indigenous,Female,50-54,17654
2016,Indigenous,Female,55-59,15549
2016,Indigenous,Female,60-64,12865
2016,Indigenous,Female,65-69,10148
2016,Indigenous,Female,70-74,7368
2016,Indigenous,Female,75-79,5004
2016,Indigenous,Female,80+,7251
2017,White,Male,0-4,3101962
2017,White,Male,5-9,3060317
2017,White,Male,10-14,3072353
2017,White,Male,15-19,3106413
2017,White,Male,20-24,3304747
2017,White,Male,25-29,3322809
2017,White,Male,30-34,3233596
2017,White,Male,35-39,3149362
2017,White,Male,40-44,3117163
2017,White,Male,45-49,2767175
2017,White,Male,50-54,2546532
2017,White,Male,55-59,2292360
2017,White,Male,60-64,1932473
2017,White,Male,65-69,1494840
2017,White,Male,70-74,1132906
2017,White,Male,75-79,749471
2017,White,Male,80+,800060
2017,White,Female,0-4,3026145
2017,White,Female,5-9,2982279
2017,White,Female,10-14,3000579
2017,White,Female,15-19,3141340
2017,White,Female,20-24,3410476
2017,White,Female,25-29,3515240
2017,White,Female,30-34,3503925
2017,White,Female,35-39,3499138
2017,White,Female,40-44,3492170
2017,White,Female,45-49,3150351
2017,White,Female,50-54,2917064
2017,White,Female,55-59,2675005
2017,White,Female,60-64,2299020
2017,White,Female,65-69,1844749
2017,White,Female,70-74,1476007
2017,White,Female,75-79,1063454
2017,White,Female,80+,1404640
2017,Black,Male,0-4,375152
2017,Black,Male,5-9,494564
2017,Black,Male,10-14,587819
2017,Black,Male,15-19,704394
2017,Black,Male,20-24,823912
2017,Black,Male,25-29,852541
2017,Black,Male,30-34,821964
2017,Black,Male,35-39,796108
2017,Black,Male,40-44,773053
2017,Black,Male,45-49,656091
2017,Black,Male,50-54,572403
2017,Black,Male,55-59,467906
2017,Black,Male,60-64,372128
2017,Black,Male,65-69,272726
2017,Black,Male,70-74,194105
2017,Black,Male,75-79,120195
2017,Black,Male,80+,125466
2017,Black,Female,0-4,351949
2017,Black,Female,5-9,455493
2017,Black,Female,10-14,527974
2017,Black,Female,15-19,625851
2017,Black,Female,20-24,735218
2017,Black,Female,25-29,764350
2017,Black,Female,30-34,737503
2017,Black,Female,35-39,721820
2017,Black,Female,40-44,701960
2017,Black,Female,45-49,612872
2017,Black,Female,50-54,555056
2017,Black,Female,55-59,479441
2017,Black,Female,60-64,400606
2017,Black,Female,65-69,308539
2017,Black,Female,70-74,231647
2017,Black,Female,75-79,152289
2017,Black,Female,80+,184759
2017,Brown,Male,0-4,3072542
2017,Brown,Male,5-9,3560623
2017,Brown,Male,10-14,3869309
2017,Brown,Male,15-19,3858166
2017,Brown,Male,20-24,3828212
2017,Brown,Male,25-29,3627969
2017,Brown,Male,30-34,3411591
2017,Brown,Male,35-39,3286868
2017,Brown,Male,40-44,3117376
2017,Brown,Male,45-49,2633879
2017,Brown,Male,50-54,2271118
2017,Brown,Male,55-59,1883752
2017,Brown,Male,60-64,1498488
2017,Brown,Male,65-69,1111308
2017,Brown,Male,70-74,792627
2017,Brown,Male,75-79,489567
2017,Brown,Male,80+,502282
2017,Brown,Female,0-4,2947389
2017,Brown,Female,5-9,3403706
2017,Brown,Female,10-14,3699578
2017,Brown,Female,15-19,3686513
2017,Brown,Female,20-24,3752892
2017,Brown,Female,25-29,3712230
2017,Brown,Female,30-34,3574927
2017,Brown,Female,35-39,3444048
2017,Brown,Female,40-44,3250059
2017,Brown,Female,45-49,2789113
2017,Brown,Female,50-54,2438012
2017,Brown,Female,55-59,2088239
2017,Brown,Female,60-64,1677971
2017,Brown,Female,65-69,1266716
2017,Brown,Female,70-74,928386
2017,Brown,Female,75-79,600544
2017,Brown,Female,80+,705706
2017,Yellow,Male,0-4,25796
2017,Yellow,Male,5-9,30546
2017,Yellow,Male,10-14,33079
2017,Yellow,Male,15-19,34812
2017,Yellow,Male,20-24,39067
2017,Yellow,Male,25-29,40577
2017,Yellow,Male,30-34,40937
2017,Yellow,Male,35-39,40459
2017,Yellow,Male,40-44,40593
2017,Yellow,Male,45-49,35747
2017,Yellow,Male,50-54,33055
2017,Yellow,Male,55-59,31136
2017,Yellow,Male,60-64,28965
2017,Yellow,Male,65-69,26071
2017,Yellow,Male,70-74,22916
2017,Yellow,Male,75-79,15969
2017,Yellow,Male,80+,17977
2017,Yellow,Female,0-4,24518
2017,Yellow,Female,5-9,29177
2017,Yellow,Female,10-14,33438
2017,Yellow,Female,15-19,39089
2017,Yellow,Female,20-24,46350
2017,Yellow,Female,25-29,48018
2017,Yellow,Female,30-34,47367
2017,Yellow,Female,35-39,46893
2017,Yellow,Female,40-44,46493
2017,Yellow,Female,45-49,41141
2017,Yellow,Female,50-54,37342
2017,Yellow,Female,55-59,35743
2017,Yellow,Female,60-64,33265
2017,Yellow,Female,65-69,29881
2017,Yellow,Female,70-74,26632
2017,Yellow,Female,75-79,19655
2017,Yellow,Female,80+,25610
2017,Indigenous,Male,0-4,60448
2017,Indigenous,Male,5-9,59267
2017,Indigenous,Male,10-14,55770
2017,Indigenous,Male,15-19,51146
2017,Indigenous,Male,20-24,46085
2017,Indigenous,Male,25-29,39497
2017,Indigenous,Male,30-34,34073
2017,Indigenous,Male,35-39,30819
2017,Indigenous,Male,40-44,26960
2017,Indigenous,Male,45-49,22714
2017,Indigenous,Male,50-54,18622
2017,Indigenous,Male,55-59,15551
2017,Indigenous,Male,60-64,12750
2017,Indigenous,Male,65-69,9742
2017,Indigenous,Male,70-74,7185
2017,Indigenous,Male,75-79,4689
2017,Indigenous,Male,80+,5753
2017,Indigenous,Female,0-4,58641
2017,Indigenous,Female,5-9,56884
2017,Indigenous,Female,10-14,53761
2017,Indigenous,Female,15-19,49661
2017,Indigenous,Female,20-24,45085
2017,Indigenous,Female,25-29,39373
2017,Indigenous,Female,30-34,34368
2017,Indigenous,Female,35-39,30831
2017,Indigenous,Female,40-44,26833
2017,Indigenous,Female,45-49,22748
2017,Indigenous,Female,50-54,19077
2017,Indigenous,Female,55-59,16893
2017,Indigenous,Female,60-64,14070
2017,Indigenous,Female,65-69,11224
2017,Indigenous,Female,70-74,8301
2017,Indigenous,Female,75-79,5804
2017,Indigenous,Female,80+,8180
2018,White,Male,0-4,3066905
2018,White,Male,5-9,3030452
2018,White,Male,10-14,3003142
2018,White,Male,15-19,3040781
2018,White,Male,20-24,3239077
2018,White,Male,25-29,3255041
2018,White,Male,30-34,3195703
2018,White,Male,35-39,3153185
2018,White,Male,40-44,3133964
2018,White,Male,45-49,2757070
2018,White,Male,50-54,2557825
2018,White,Male,55-59,2330907
2018,White,Male,60-64,1983258
2018,White,Male,65-69,1546300
2018,White,Male,70-74,1170430
2018,White,Male,75-79,771892
2018,White,Male,80+,826460
2018,White,Female,0-4,2988452
2018,White,Female,5-9,2946792
2018,White,Female,10-14,2928582
2018,White,Female,15-19,3072125
2018,White,Female,20-24,3341199
2018,White,Female,25-29,3444155
2018,White,Female,30-34,3465031
2018,White,Female,35-39,3507993
2018,White,Female,40-44,3516179
2018,White,Female,45-49,3146243
2018,White,Female,50-54,2936121
2018,White,Female,55-59,2726341
2018,White,Female,60-64,2364123
2018,White,Female,65-69,1911048
2018,White,Female,70-74,1523989
2018,White,Female,75-79,1092579
2018,White,Female,80+,1451546
2018,Black,Male,0-4,381272
2018,Black,Male,5-9,499683
2018,Black,Male,10-14,585993
2018,Black,Male,15-19,710922
2018,Black,Male,20-24,839694
2018,Black,Male,25-29,867633
2018,Black,Male,30-34,838690
2018,Black,Male,35-39,825480
2018,Black,Male,40-44,807207
2018,Black,Male,45-49,682900
2018,Black,Male,50-54,598051
2018,Black,Male,55-59,492317
2018,Black,Male,60-64,394253
2018,Black,Male,65-69,289778
2018,Black,Male,70-74,205544
2018,Black,Male,75-79,126964
2018,Black,Male,80+,132731
2018,Black,Female,0-4,359237
2018,Black,Female,5-9,462858
2018,Black,Female,10-14,527285
2018,Black,Female,15-19,632137
2018,Black,Female,20-24,749850
2018,Black,Female,25-29,779387
2018,Black,Female,30-34,755061
2018,Black,Female,35-39,752257
2018,Black,Female,40-44,734942
2018,Black,Female,45-49,638016
2018,Black,Female,50-54,578699
2018,Black,Female,55-59,504056
2018,Black,Female,60-64,424749
2018,Black,Female,65-69,328415
2018,Black,Female,70-74,245421
2018,Black,Female,75-79,160403
2018,Black,Female,80+,195520
2018,Brown,Male,0-4,3061791
2018,Brown,Male,5-9,3541873
2018,Brown,Male,10-14,3807570
2018,Brown,Male,15-19,3823112
2018,Brown,Male,20-24,3816115
2018,Brown,Male,25-29,3622250
2018,Brown,Male,30-34,3426026
2018,Brown,Male,35-39,3349339
2018,Brown,Male,40-44,3195995
2018,Brown,Male,45-49,2695285
2018,Brown,Male,50-54,2338905
2018,Brown,Male,55-59,1954562
2018,Brown,Male,60-64,1563834
2018,Brown,Male,65-69,1163640
2018,Brown,Male,70-74,827307
2018,Brown,Male,75-79,510188
2018,Brown,Male,80+,523259
2018,Brown,Female,0-4,2939702
2018,Brown,Female,5-9,3388994
2018,Brown,Female,10-14,3637964
2018,Brown,Female,15-19,3646385
2018,Brown,Female,20-24,3743127
2018,Brown,Female,25-29,3714363
2018,Brown,Female,30-34,3598534
2018,Brown,Female,35-39,3515540
2018,Brown,Female,40-44,3335818
2018,Brown,Female,45-49,2854666
2018,Brown,Female,50-54,2509157
2018,Brown,Female,55-59,2169137
2018,Brown,Female,60-64,1754522
2018,Brown,Female,65-69,1328773
2018,Brown,Female,70-74,969566
2018,Brown,Female,75-79,625900
2018,Brown,Female,80+,737510
2018,Yellow,Male,0-4,23096
2018,Yellow,Male,5-9,27487
2018,Yellow,Male,10-14,29644
2018,Yellow,Male,15-19,31469
2018,Yellow,Male,20-24,35367
2018,Yellow,Male,25-29,36828
2018,Yellow,Male,30-34,37805
2018,Yellow,Male,35-39,38343
2018,Yellow,Male,40-44,38910
2018,Yellow,Male,45-49,34125
2018,Yellow,Male,50-54,31772
2018,Yellow,Male,55-59,30108
2018,Yellow,Male,60-64,28165
2018,Yellow,Male,65-69,25769
2018,Yellow,Male,70-74,23001
2018,Yellow,Male,75-79,16324
2018,Yellow,Male,80+,18573
2018,Yellow,Female,0-4,21992
2018,Yellow,Female,5-9,26181
2018,Yellow,Female,10-14,29794
2018,Yellow,Female,15-19,34934
2018,Yellow,Female,20-24,41452
2018,Yellow,Female,25-29,43029
2018,Yellow,Female,30-34,43187
2018,Yellow,Female,35-39,43887
2018,Yellow,Female,40-44,44145
2018,Yellow,Female,45-49,39043
2018,Yellow,Female,50-54,35697
2018,Yellow,Female,55-59,34465
2018,Yellow,Female,60-64,32259
2018,Yellow,Female,65-69,29545
2018,Yellow,Female,70-74,26780
2018,Yellow,Female,75-79,20054
2018,Yellow,Female,80+,26426
2018,Indigenous,Male,0-4,62225
2018,Indigenous,Male,5-9,60994
2018,Indigenous,Male,10-14,57426
2018,Indigenous,Male,15-19,53144
2018,Indigenous,Male,20-24,47875
2018,Indigenous,Male,25-29,40875
2018,Indigenous,Male,30-34,35274
2018,Indigenous,Male,35-39,32156
2018,Indigenous,Male,40-44,28295
2018,Indigenous,Male,45-49,23769
2018,Indigenous,Male,50-54,19566
2018,Indigenous,Male,55-59,16341
2018,Indigenous,Male,60-64,13452
2018,Indigenous,Male,65-69,10250
2018,Indigenous,Male,70-74,7538
2018,Indigenous,Male,75-79,4907
2018,Indigenous,Male,80+,6054
2018,Indigenous,Female,0-4,60360
2018,Indigenous,Female,5-9,58496
2018,Indigenous,Female,10-14,55314
2018,Indigenous,Female,15-19,51528
2018,Indigenous,Female,20-24,46965
2018,Indigenous,Female,25-29,40928
2018,Indigenous,Female,30-34,35746
2018,Indigenous,Female,35-39,32309
2018,Indigenous,Female,40-44,28257
2018,Indigenous,Female,45-49,23804
2018,Indigenous,Female,50-54,20050
2018,Indigenous,Female,55-59,17726
2018,Indigenous,Female,60-64,14800
2018,Indigenous,Female,65-69,11772
2018,Indigenous,Female,70-74,8718
2018,Indigenous,Female,75-79,6156
2018,Indigenous,Female,80+,8616
2019,White,Male,0-4,3032695
2019,White,Male,5-9,3001259
2019,White,Male,10-14,2936044
2019,White,Male,15-19,2976893
2019,White,Male,20-24,3175147
2019,White,Male,25-29,3189103
2019,White,Male,30-34,3158723
2019,White,Male,35-39,3157500
2019,White,Male,40-44,3151174
2019,White,Male,45-49,2747395
2019,White,Male,50-54,2569508
2019,White,Male,55-59,2370259
2019,White,Male,60-64,2035531
2019,White,Male,65-69,1599688
2019,White,Male,70-74,1209278
2019,White,Male,75-79,795074
2019,White,Male,80+,853874
2019,White,Female,0-4,2951667
2019,White,Female,5-9,2912256
2019,White,Female,10-14,2858764
2019,White,Female,15-19,3004790
2019,White,Female,20-24,3273741
2019,White,Female,25-29,3375028
2019,White,Female,30-34,3427060
2019,White,Female,35-39,3517340
2019,White,Female,40-44,3540616
2019,White,Female,45-49,3142395
2019,White,Female,50-54,2955584
2019,White,Female,55-59,2779008
2019,White,Female,60-64,2431306
2019,White,Female,65-69,1980005
2019,White,Female,70-74,1573702
2019,White,Female,75-79,1122615
2019,White,Female,80+,1500235
2019,Black,Male,0-4,387487
2019,Black,Male,5-9,504874
2019,Black,Male,10-14,584161
2019,Black,Male,15-19,717677
2019,Black,Male,20-24,856007
2019,Black,Male,25-29,883206
2019,Black,Male,30-34,856022
2019,Black,Male,35-39,856182
2019,Black,Male,40-44,843154
2019,Black,Male,45-49,710949
2019,Black,Male,50-54,625082
2019,Black,Male,55-59,518234
2019,Black,Male,60-64,417860
2019,Black,Male,65-69,307922
2019,Black,Male,70-74,217673
2019,Black,Male,75-79,133924
2019,Black,Male,80+,140292
2019,Black,Female,0-4,366575
2019,Black,Female,5-9,470393
2019,Black,Female,10-14,526736
2019,Black,Female,15-19,638549
2019,Black,Female,20-24,764951
2019,Black,Female,25-29,794828
2019,Black,Female,30-34,773199
2019,Black,Female,35-39,784157
2019,Black,Female,40-44,769590
2019,Black,Female,45-49,664392
2019,Black,Female,50-54,603463
2019,Black,Female,55-59,530042
2019,Black,Female,60-64,450288
2019,Black,Female,65-69,349548
2019,Black,Female,70-74,259989
2019,Black,Female,75-79,168871
2019,Black,Female,80+,206792
2019,Brown,Male,0-4,3052036
2019,Brown,Male,5-9,3524382
2019,Brown,Male,10-14,3747775
2019,Brown,Male,15-19,3789284
2019,Brown,Male,20-24,3805315
2019,Brown,Male,25-29,3618054
2019,Brown,Male,30-34,3441833
2019,Brown,Male,35-39,3413927
2019,Brown,Male,40-44,3277357
2019,Brown,Male,45-49,2758750
2019,Brown,Male,50-54,2409330
2019,Brown,Male,55-59,2028439
2019,Brown,Male,60-64,1632523
2019,Brown,Male,65-69,1218874
2019,Brown,Male,70-74,863778
2019,Brown,Male,75-79,531725
2019,Brown,Male,80+,545264
2019,Brown,Female,0-4,2932900
2019,Brown,Female,5-9,3375448
2019,Brown,Female,10-14,3578252
