year,race,sex,age_group,population
2010,Brown,Male,50-54,1861713
2010,Brown,Male,55-59,1464531
2010,Brown,Male,60-64,1121666
2010,Brown,Male,65-69,816549
2010,Brown,Male,70-74,595091
2010,Brown,Male,75-79,371657
2010,Brown,Male,80+,382820
2010,Brown,Female,0-4,3035228
2010,Brown,Female,5-9,3546190
2010,Brown,Female,10-14,4193353
2010,Brown,Female,15-19,4011320
2010,Brown,Female,20-24,3861205
2010,Brown,Female,25-29,3741292
2010,Brown,Female,30-34,3449954
2010,Brown,Female,35-39,3008236
2010,Brown,Female,40-44,2728647
2010,Brown,Female,45-49,2388538
2010,Brown,Female,50-54,2008079
2010,Brown,Female,55-59,1612099
2010,Brown,Female,60-64,1240332
2010,Brown,Female,65-69,918521
2010,Brown,Female,70-74,693800
2010,Brown,Female,75-79,454662
2010,Brown,Female,80+,524013
2010,Yellow,Male,0-4,61727
2010,Yellow,Male,5-9,70877
2010,Yellow,Male,10-14,78357
2010,Yellow,Male,15-19,78454
2010,Yellow,Male,20-24,87044
2010,Yellow,Male,25-29,88309
2010,Yellow,Male,30-34,80174
2010,Yellow,Male,35-39,67594
2010,Yellow,Male,40-44,62176
2010,Yellow,Male,45-49,56374
2010,Yellow,Male,50-54,48710
2010,Yellow,Male,55-59,43582
2010,Yellow,Male,60-64,38925
2010,Yellow,Male,65-69,31058
2010,Yellow,Male,70-74,25314
2010,Yellow,Male,75-79,16074
2010,Yellow,Male,80+,16655
2010,Yellow,Female,0-4,58229
2010,Yellow,Female,5-9,68666
2010,Yellow,Female,10-14,83096
2010,Yellow,Female,15-19,98554
2010,Yellow,Female,20-24,113016
2010,Yellow,Female,25-29,114424
2010,Yellow,Female,30-34,101976
2010,Yellow,Female,35-39,84952
2010,Yellow,Female,40-44,77054
2010,Yellow,Female,45-49,68290
2010,Yellow,Female,50-54,57829
2010,Yellow,Female,55-59,51567
2010,Yellow,Female,60-64,45536
2010,Yellow,Female,65-69,36580
2010,Yellow,Female,70-74,29362
2010,Yellow,Female,75-79,19985
2010,Yellow,Female,80+,23768
2010,Indigenous,Male,0-4,51275
2010,Indigenous,Male,5-9,50656
2010,Indigenous,Male,10-14,48089
2010,Indigenous,Male,15-19,41617
2010,Indigenous,Male,20-24,37533
2010,Indigenous,Male,25-29,33030
2010,Indigenous,Male,30-34,28285
2010,Indigenous,Male,35-39,24408
2010,Indigenous,Male,40-44,20662
2010,Indigenous,Male,45-49,17727
2010,Indigenous,Male,50-54,14355
2010,Indigenous,Male,55-59,11832
2010,Indigenous,Male,60-64,9397
2010,Indigenous,Male,65-69,7407
2010,Indigenous,Male,70-74,5635
2010,Indigenous,Male,75-79,3678
2010,Indigenous,Male,80+,4321
2010,Indigenous,Female,0-4,49920
2010,Indigenous,Female,5-9,49185
2010,Indigenous,Female,10-14,46737
2010,Indigenous,Female,15-19,40883
2010,Indigenous,Female,20-24,35854
2010,Indigenous,Female,25-29,32074
2010,Indigenous,Female,30-34,28041
2010,Indigenous,Female,35-39,23759
2010,Indigenous,Female,40-44,20288
2010,Indigenous,Female,45-49,17918
2010,Indigenous,Female,50-54,14801
2010,Indigenous,Female,55-59,12968
2010,Indigenous,Female,60-64,10680
2010,Indigenous,Female,65-69,8578
2010,Indigenous,Female,70-74,6246
2010,Indigenous,Female,75-79,4150
2010,Indigenous,Female,80+,5974
2011,White,Male,0-4,3335340
2011,White,Male,5-9,3260906
2011,White,Male,10-14,3535770
2011,White,Male,15-19,3543340
2011,White,Male,20-24,3739758
2011,White,Male,25-29,3774770
2011,White,Male,30-34,3486451
2011,White,Male,35-39,3139344
2011,White,Male,40-44,3031016
2011,White,Male,45-49,2840967
2011,White,Male,50-54,2490164
2011,White,Male,55-59,2081698
2011,White,Male,60-64,1659860
2011,White,Male,65-69,1226007
2011,White,Male,70-74,936973
2011,White,Male,75-79,631823
2011,White,Male,80+,662346
2011,White,Female,0-4,3276726
2011,White,Female,5-9,3220238
2011,White,Female,10-14,3484614
2011,White,Female,15-19,3602597
2011,White,Female,20-24,3870187
2011,White,Female,25-29,3989978
2011,White,Female,30-34,3763635
2011,White,Female,35-39,3460429
2011,White,Female,40-44,3365037
2011,White,Female,45-49,3188736
2011,White,Female,50-54,2818045
2011,White,Female,55-59,2396376
2011,White,Female,60-64,1952416
2011,White,Female,65-69,1499923
2011,White,Female,70-74,1224041
2011,White,Female,75-79,908605
2011,White,Female,80+,1157934
2011,Black,Male,0-4,346527
2011,Black,Male,5-9,472663
2011,Black,Male,10-14,607514
2011,Black,Male,15-19,674319
2011,Black,Male,20-24,743084
2011,Black,Male,25-29,776559
2011,Black,Male,30-34,736947
2011,Black,Male,35-39,647523
2011,Black,Male,40-44,602415
2011,Black,Male,45-49,521985
2011,Black,Male,50-54,444841
2011,Black,Male,55-59,348526
2011,Black,Male,60-64,265527
2011,Black,Male,65-69,192099
2011,Black,Male,70-74,139474
2011,Black,Male,75-79,88095
2011,Black,Male,80+,90933
2011,Black,Female,0-4,317132
2011,Black,Female,5-9,420860
2011,Black,Female,10-14,539749
2011,Black,Female,15-19,596691
2011,Black,Female,20-24,660286
2011,Black,Female,25-29,688184
2011,Black,Female,30-34,647726
2011,Black,Female,35-39,569492
2011,Black,Female,40-44,538508
2011,Black,Female,45-49,486550
2011,Black,Female,50-54,436807
2011,Black,Female,55-59,358878
2011,Black,Female,60-64,285215
2011,Black,Female,65-69,214622
2011,Black,Female,70-74,165732
2011,Black,Female,75-79,113100
